epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.621,1.65973,2.5773,1.84244,0.47443,0.31531,0.29402,0.12777,1.93587,2.35837,1.95686,0.000554697,0.000554697,0.000554697
2,464.691,1.72017,2.24146,1.89048,0.50836,0.41292,0.42079,0.18622,1.99358,2.11197,2.00074,0.00107372,0.00107372,0.00107372
3,665.636,1.69618,2.13416,1.87537,0.53229,0.46011,0.46174,0.23092,1.84058,1.84566,1.90117,0.00155607,0.00155607,0.00155607
4,848.669,1.6507,2.03502,1.82465,0.58854,0.46476,0.49683,0.25856,1.74875,1.74345,1.84365,0.00150197,0.00150197,0.00150197
5,1026.15,1.60523,1.95794,1.79972,0.62448,0.49467,0.56011,0.26806,1.70931,1.64364,1.7781,0.00144696,0.00144696,0.00144696
6,1205.14,1.57985,1.87693,1.76923,0.63797,0.53786,0.58456,0.31257,1.6856,1.60851,1.78674,0.00139195,0.00139195,0.00139195
7,1382.44,1.54807,1.82595,1.747,0.68164,0.59633,0.64075,0.34365,1.6726,1.40695,1.73372,0.00133693,0.00133693,0.00133693
8,1560.42,1.52767,1.74915,1.72296,0.69951,0.57304,0.62385,0.33899,1.63177,1.46143,1.69169,0.00128192,0.00128192,0.00128192
9,1738.89,1.49839,1.71255,1.7061,0.7486,0.5664,0.65087,0.34639,1.6353,1.41266,1.67815,0.00122691,0.00122691,0.00122691
10,1915.18,1.48299,1.67411,1.68828,0.70324,0.58973,0.6447,0.35088,1.55432,1.3477,1.65683,0.0011719,0.0011719,0.0011719
11,2090.07,1.46283,1.63829,1.67214,0.73943,0.61205,0.66378,0.36871,1.55765,1.33349,1.6567,0.00111689,0.00111689,0.00111689
12,2267.53,1.4501,1.62529,1.66055,0.76858,0.59466,0.67368,0.37052,1.56685,1.28229,1.61675,0.00106188,0.00106188,0.00106188
13,2446.15,1.43723,1.57129,1.65133,0.78397,0.63873,0.70535,0.40729,1.4977,1.22175,1.59621,0.00100687,0.00100687,0.00100687
14,2624.72,1.41506,1.54136,1.63313,0.77407,0.62028,0.69916,0.39879,1.53499,1.2341,1.61119,0.000951857,0.000951857,0.000951857
15,2802.86,1.41475,1.52404,1.63276,0.74777,0.64223,0.7123,0.41454,1.48001,1.17589,1.58204,0.000896846,0.000896846,0.000896846
16,2979.68,1.40195,1.49496,1.61471,0.76541,0.64019,0.71552,0.41166,1.48546,1.18753,1.56109,0.000841835,0.000841835,0.000841835
17,3153.91,1.38719,1.47173,1.60378,0.78152,0.64431,0.72874,0.42659,1.45254,1.14516,1.5339,0.000786824,0.000786824,0.000786824
18,3332.07,1.37222,1.43669,1.59527,0.76655,0.66699,0.73501,0.42831,1.47771,1.10105,1.56695,0.000731813,0.000731813,0.000731813
19,3523.16,1.36648,1.40227,1.58382,0.80212,0.63648,0.72747,0.43187,1.44709,1.12124,1.52707,0.000676802,0.000676802,0.000676802
20,3719.78,1.35713,1.39992,1.57769,0.78138,0.66512,0.74173,0.44766,1.43247,1.0762,1.51019,0.000621791,0.000621791,0.000621791
21,3906.63,1.43596,1.26778,1.69754,0.78216,0.65755,0.74061,0.43599,1.45519,1.08828,1.51768,0.00056678,0.00056678,0.00056678
22,4082.65,1.39799,1.23461,1.67059,0.79241,0.66538,0.74178,0.44783,1.38868,1.07042,1.48037,0.000511769,0.000511769,0.000511769
23,4256.5,1.37596,1.18777,1.64713,0.77365,0.65809,0.73777,0.44914,1.3928,1.0544,1.47482,0.000456758,0.000456758,0.000456758
24,4428.04,1.36415,1.15763,1.6332,0.76089,0.71165,0.76194,0.46249,1.38004,1.00825,1.46873,0.000401747,0.000401747,0.000401747
25,4596.39,1.33579,1.13358,1.61044,0.75321,0.69344,0.75693,0.46472,1.3789,1.01505,1.46092,0.000346736,0.000346736,0.000346736
26,4766.26,1.32022,1.1065,1.60185,0.77552,0.68595,0.75857,0.46502,1.36658,0.99517,1.45459,0.000291725,0.000291725,0.000291725
27,4935.48,1.30697,1.0852,1.58601,0.76431,0.71094,0.76004,0.47258,1.3465,0.98354,1.44731,0.000236714,0.000236714,0.000236714
28,5104.35,1.29047,1.0495,1.56694,0.82376,0.68003,0.76855,0.47439,1.34418,0.96899,1.44139,0.000181703,0.000181703,0.000181703
29,5274.19,1.27399,1.04148,1.55735,0.82085,0.69396,0.76957,0.47997,1.33326,0.94655,1.43113,0.000126692,0.000126692,0.000126692
30,5443.41,1.25411,1.01203,1.54254,0.81865,0.68663,0.77048,0.48398,1.32307,0.94628,1.42576,7.1681e-05,7.1681e-05,7.1681e-05
